code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00642U,期元大S&P石油,上市,STOCK,,0,0,0,36,0,0,0,15,0,4,15,2,0.0,賣超,2,0.3565,0,0,0,0,28.4,11.1,2.31,52.4,0,0,0,{},0,0,-2.4,1,0.0,0,0.52,2,0,0,0,,NONE,,2026-05-08
00643,群益深証中小,上市,STOCK,,0,0,0,24,0,0,0,14,0,1,5,4,0.0,賣超,1,0.906,0,0,0,0,4.9,0.0,-0.95,74.3,0,0,0,{},0,0,-1.5,1,0.0,0,0.63,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00643K,群益深証中小+R,上市,STOCK,,0,0,0,28,0,0,0,10,0,1,15,2,0.0,賣超,1,0.3429,0,0,0,0,0.0,0.0,0.0,46.0,0,0,0,{},0,0,0.0,0,0.0,0,0.0,1,0,0,0,★大戶接手,NONE,,2026-05-08
00645,富邦日本,上市,STOCK,,0,0,0,39,1,0,0,18,0,1,15,4,0.0,賣超,1,0.9927,1,0,0,0,0.3,0.0,0.34,59.7,0,0,0,{},0,0,0.0,0,0.0,0,0.9,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00646,元大S&P500,上市,STOCK,,0,0,0,38,1,0,0,14,0,4,15,4,240.0,<前30%,2,1.2659,1,0,0,0,0.1,0.0,0.08,71.4,0,140,240,{},0,0,25.4,0,0.05,0,1.76,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00647L,元大S&P500正2,上市,STOCK,,0,0,0,42,0,0,0,14,0,9,15,4,0.0,賣超,2,0.5664,0,0,0,0,1.6,0.0,0.0,72.4,0,0,0,{},0,0,0.0,1,0.0,0,0.35,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00648R,元大S&P500反1,上市,STOCK,,0,0,0,19,1,0,0,0,0,1,15,2,0.0,賣超,1,0.4662,1,0,0,0,26.0,0.4,0.5,31.2,0,0,0,{},0,0,0.6,0,0.0,0,0.65,0,0,0,0,★大戶接手,NONE,,2026-05-08
00650L,復華香港正2,上市,STOCK,,0,0,0,20,0,0,0,18,0,0,5,-3,0.0,賣超,0,0.8663,0,0,0,0,53.4,5.9,-2.84,54.9,0,0,0,{},0,0,-20.2,0,0.0,0,0.58,2,0,0,0,,NONE,,2026-05-08
00651R,復華香港反1,上市,STOCK,,0,0,0,25,0,0,0,2,0,1,15,7,0.0,賣超,1,0.5287,0,0,0,0,21.3,4.0,2.7,44.2,0,0,0,{},0,0,0.0,0,0.0,0,0.14,0,0,0,0,★融資退場,NONE,,2026-05-08
00652,富邦印度,上市,STOCK,,0,0,0,11,0,0,0,2,0,0,5,4,0.0,賣超,0,0.9206,0,0,0,0,0.2,0.0,-3.08,47.2,0,0,0,{},0,0,-4.9,0,0.0,0,0.49,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00653L,富邦印度正2,上市,STOCK,,0,0,0,13,0,0,0,8,0,3,5,-3,0.0,賣超,1,0.795,0,0,0,0,55.3,0.4,-3.04,50.5,0,0,0,{},0,0,-4.5,1,0.0,0,0.5,0,0,0,0,,NONE,,2026-05-08
00654R,富邦印度反1,上市,STOCK,,0,0,0,22,0,0,0,2,0,1,15,4,0.0,賣超,1,0.7716,0,0,0,0,13.9,1.4,0.0,46.2,0,0,0,{},0,0,0.0,0,0.0,0,1.39,0,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00655L,國泰中國A50正2,上市,STOCK,,0,0,0,73,0,0,17,18,0,9,25,4,0.0,賣超,2,0.5828,0,0,8,41,11.9,2.0,1.99,61.5,0,0,0,{},0,1,-18.7,1,0.0,0,0.95,2,0,0,0,★籌碼集中 ★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00656R,國泰中國A50反1,上市,STOCK,,0,0,0,20,0,0,0,0,0,1,15,4,0.0,賣超,1,0.9918,0,0,0,0,5.4,0.0,0.84,36.2,0,0,0,{},0,0,0.0,0,0.0,0,0.2,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00657,國泰日經225,上市,STOCK,,0,0,0,41,0,0,0,18,0,4,15,4,0.0,賣超,2,1.5452,0,0,0,0,0.0,0.0,0.0,69.2,0,0,0,{},0,0,-2.2,1,0.0,0,1.26,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00657K,國泰日經225+U,上市,STOCK,,0,0,0,32,0,0,0,14,0,1,15,2,0.0,賣超,1,1.0345,0,0,0,0,0.0,0.0,0.0,70.9,0,0,0,{},0,0,0.0,0,0.0,0,1.0,2,0,0,0,★大戶接手,NONE,,2026-05-08
00660,元大歐洲50,上市,STOCK,,0,0,0,23,0,0,0,8,0,1,5,9,0.0,賣超,1,1.0538,0,0,0,0,0.1,0.0,-5.1,53.2,0,0,0,{},0,0,0.0,1,0.0,0,0.32,0,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00661,元大日經225,上市,STOCK,,0,0,0,43,0,0,0,18,0,6,15,4,0.0,賣超,2,0.7279,0,0,0,0,0.7,0.0,0.0,68.2,0,0,0,{},0,0,-3.0,1,0.0,0,0.8,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00662,富邦NASDAQ,上市,STOCK,,0,0,0,20,1,0,0,10,0,0,5,4,-40.0,賣超,0,1.1278,1,0,0,0,0.5,0.0,-0.15,80.8,0,0,-40,{},0,0,0.2,0,-0.05,0,0.59,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00663L,國泰臺灣加權正2,上市,STOCK,,0,0,0,26,1,0,0,14,0,2,5,4,0.0,賣超,0,0.7132,1,0,0,0,18.8,6.9,-0.95,75.6,0,0,0,{},0,0,3.2,0,0.0,0,1.12,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
